date_time,title,link,author,comments_amount,likes_amount
2022-05-04T21:09:59.385Z,Why Do People Prefer My Old Blog's Layout To Substack's?,https://astralcodexten.substack.com/p/why-do-people-prefer-my-old-blogs,Scott Alexander,468,74
2022-03-18T19:01:15.349Z,Hidden Open Thread 215.5,https://astralcodexten.substack.com/p/hidden-open-thread-2155,Scott Alexander,357,43
2022-03-14T18:17:47.194Z,Mantic Monday 3/14/22,https://astralcodexten.substack.com/p/mantic-monday-31422,Scott Alexander,205,53
2022-03-16T18:50:18.291Z,Highlights From The Comments On Zulresso,https://astralcodexten.substack.com/p/highlights-from-the-comments-on-zulresso,Scott Alexander,18,36
2022-03-17T18:00:45.276Z,The Onion Knight,https://astralcodexten.substack.com/p/the-onion-knight,Scott Alexander,89,208
2022-03-21T20:28:12.099Z,Mantic Monday 3/21/22,https://astralcodexten.substack.com/p/mantic-monday-32122,Scott Alexander,101,28
2022-03-21T01:19:29.175Z,Open Thread 216,https://astralcodexten.substack.com/p/open-thread-216,Scott Alexander,775,37
2022-03-16T02:15:07.435Z,Justice Creep,https://astralcodexten.substack.com/p/justice-creep,Scott Alexander,698,237
2022-03-22T18:53:57.517Z,Contra Hoel On Aristocratic Tutoring,https://astralcodexten.substack.com/p/contra-hoel-on-aristocratic-tutoring,Scott Alexander,623,136
2022-03-23T19:35:09.062Z,Men Will Literally Have Completely Different Mental Processes Instead Of Going To Therapy,https://astralcodexten.substack.com/p/men-will-literally-have-completely,Scott Alexander,539,168
2022-03-24T18:12:57.930Z,Highlights From The Comments On Justice Creep,https://astralcodexten.substack.com/p/highlights-from-the-comments-on-justice,Scott Alexander,709,70
2022-03-24T18:29:36.172Z,Hidden Open Thread 216.5,https://astralcodexten.substack.com/p/hidden-open-thread-2165,Scott Alexander,314,40
2022-03-27T21:14:08.558Z,Open Thread 217,https://astralcodexten.substack.com/p/open-thread-217,Scott Alexander,382,24
2022-03-28T20:01:30.604Z,"Information Markets, Decision Markets, Attention Markets, Action Markets",https://astralcodexten.substack.com/p/information-markets-decision-markets,Scott Alexander,119,73
2022-03-30T01:20:37.358Z,Who Gets Self-Determination?,https://astralcodexten.substack.com/p/who-gets-self-determination,Scott Alexander,1067,162
2021-01-27T22:50:07.184Z,Hidden Open Thread 157.5,https://astralcodexten.substack.com/p/hidden-open-thread-1575,Scott Alexander,506,324
2021-01-21T20:18:29.560Z,Still Alive,https://astralcodexten.substack.com/p/still-alive,Scott Alexander,513,1112
2021-01-22T19:45:07.463Z,Logistics,https://astralcodexten.substack.com/p/logistics,Scott Alexander,275,209
2021-01-28T04:52:23.569Z,Ontology Of Psychiatric Conditions: Taxometrics,https://astralcodexten.substack.com/p/ontology-of-psychiatric-conditions,Scott Alexander,255,234
2021-01-29T04:15:56.690Z,Contra Weyl On Technocracy,https://astralcodexten.substack.com/p/contra-weyl-on-technocracy,Scott Alexander,367,215
2020-08-30T21:01:57.050Z,You're Probably Wondering Why I've Called You Here Today,https://astralcodexten.substack.com/p/youre-probably-wondering-why-ive,Scott Alexander,256,483
2021-01-25T17:21:42.204Z,Know Your Amphetamines,https://astralcodexten.substack.com/p/know-your-amphetamines,Scott Alexander,229,204
2021-01-24T20:15:13.501Z,Open Thread 157,https://astralcodexten.substack.com/p/open-thread-157,Scott Alexander,495,109
2021-01-29T20:26:58.627Z,Weyl Contra Me On Technocracy,https://astralcodexten.substack.com/p/weyl-contra-me-on-technocracy,Scott Alexander,235,109
2021-01-30T20:18:09.426Z,Technocracy-Zilla: Origins,https://astralcodexten.substack.com/p/technocracy-zilla-origins,Scott Alexander,47,79
2021-01-31T20:11:37.202Z,Open Thread 158,https://astralcodexten.substack.com/p/open-thread-158,Scott Alexander,437,36
