date_time,title,link,author,comments_amount,likes_amount
2022-04-16T12:01:52.596Z,"Whatever became of the IDW, 4/16",https://arnoldkling.substack.com/p/whatever-became-of-the-idw-416,Arnold Kling,32,9
2022-04-20T12:50:24.432Z,"Keeping up with the FITs, 4/20",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-420,Arnold Kling,11,8
2022-05-11T11:52:18.669Z,"Keeping up with the FITs, 5/11",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-511,Arnold Kling,9,2
2022-04-21T11:12:22.452Z,"Inflation and Capital Gains Taxes, 4/21",https://arnoldkling.substack.com/p/inflation-and-capital-gains-taxes,Arnold Kling,7,7
2022-04-17T10:58:10.514Z,"Keeping up with the FITs, 4/17",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-417,Arnold Kling,3,6
2022-04-18T11:03:15.678Z,"Classic Social Theory: North, Weingast, and Wallis, 4/18",https://arnoldkling.substack.com/p/classic-social-theory-north-weingast,Arnold Kling,6,6
2022-04-19T10:53:02.235Z,"DC and LA, 4/19",https://arnoldkling.substack.com/p/dc-and-la-419,Arnold Kling,13,4
2022-04-18T01:50:45.093Z,April 25: Decentralized Finance,https://arnoldkling.substack.com/p/april-25-decentralized-finance,Arnold Kling,,2
2022-04-23T11:04:46.261Z,"Keeping up with the FITs, 4/23",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-423,Arnold Kling,29,2
2022-04-25T20:43:25.045Z,Reminder for tonight,https://arnoldkling.substack.com/p/reminder-for-tonight,Arnold Kling,1,0
2022-04-25T11:14:18.636Z,"Defund, Dismantle, Decentralize, 4/25",https://arnoldkling.substack.com/p/defund-dismantle-decentralize-425,Arnold Kling,10,13
2022-04-22T20:27:58.153Z,Book Discussion: Violence and Social Orders,https://arnoldkling.substack.com/p/book-discussion-violence-and-social,Arnold Kling,1,2
2022-04-24T11:26:50.761Z,"The Crisis of Epistemology, Con't 4/24",https://arnoldkling.substack.com/p/the-crisis-of-epistemology-cont-424,Arnold Kling,3,14
2022-04-22T11:02:28.292Z,How Should College Work? 4/22,https://arnoldkling.substack.com/p/how-should-college-work-422,Arnold Kling,30,6
2022-04-26T07:05:51.941Z,"Keeping up with the FITs, 4/26",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-426,Arnold Kling,5,8
2022-04-27T10:57:44.166Z,"The Internet Impossibility Theorem, 4/27",https://arnoldkling.substack.com/p/the-internet-impossibility-theorem,Arnold Kling,10,9
2021-04-16T21:00:59.026Z,"Fantasy Intellectual Teams, improving social epistemology, and other random topics",https://arnoldkling.substack.com/p/coming-soon,Arnold Kling,,2
2021-04-17T00:42:14.781Z,Who is in my tribe?,https://arnoldkling.substack.com/p/who-is-in-my-tribe,Arnold Kling,22,16
2021-04-17T13:13:03.323Z,The Corruption of our Social Learning System,https://arnoldkling.substack.com/p/the-corruption-of-our-social-learning,Arnold Kling,,18
2021-04-19T19:01:43.756Z,Help me to populate Fantasy Intellectual Teams,https://arnoldkling.substack.com/p/help-me-to-populate-fantasy-intellectual,Arnold Kling,15,4
2021-04-21T12:09:53.463Z,Did the center-left lose the 2020 election?,https://arnoldkling.substack.com/p/did-the-center-left-lose-the-2020,Arnold Kling,14,6
2021-04-25T14:54:48.213Z,Get to the Point,https://arnoldkling.substack.com/p/get-to-the-point,Arnold Kling,9,7
2021-04-27T15:56:12.488Z,Heterodoxy and Apostasy,https://arnoldkling.substack.com/p/heterodoxy-and-apostasy,Arnold Kling,6,6
2021-05-01T15:14:58.810Z,The Permissive Parent and the Crybaby,https://arnoldkling.substack.com/p/the-permissive-parent-and-the-crybaby,Arnold Kling,8,4
2021-05-17T16:23:49.370Z,The Moral Dyad and Health Care Policy,https://arnoldkling.substack.com/p/the-moral-dyad-and-health-care-policy,Arnold Kling,5,6
2021-05-21T11:05:50.299Z,How to make Twitter less rude,https://arnoldkling.substack.com/p/how-to-make-twitter-less-rude,Arnold Kling,10,4
2021-05-22T00:08:05.900Z,The Helicopter Drop,https://arnoldkling.substack.com/p/the-helicopter-drop,Arnold Kling,11,9
