date_time,title,link,author,comments_amount
"January 21, 2021",Introducing Astral Codex Ten,https://slatestarcodex.com/2021/01/21/introducing-astral-codex-ten/,Scott Alexander,12
"May 13, 2020",Open Thread 153.75,https://slatestarcodex.com/2020/05/13/open-thread-153-75/,a reader,1551
"March 1, 2016",2016 Nootropics Survey Results,https://slatestarcodex.com/2016/03/01/2016-nootropics-survey-results/,Scott Alexander,212
"March 9, 2016",Links 3/16: Rulink Class,https://slatestarcodex.com/2016/03/09/links-316-rulink-class/,Scott Alexander,1052
"March 6, 2016",Against Interminable Arguments,https://slatestarcodex.com/2016/03/06/against-interminable-arguments/,Scott Alexander,603
"March 7, 2016",Reverse Voxsplaining: Prison and Mental Illness,https://slatestarcodex.com/2016/03/07/reverse-voxsplaining-prison-and-mental-illness/,Scott Alexander,429
"February 24, 2016",Two Attitudes In Psychiatry,https://slatestarcodex.com/2016/02/24/two-attitudes-in-psychiatry/,Scott Alexander,422
"October 11, 2017",Open Thread 86.25,https://slatestarcodex.com/2017/10/11/open-thread-86-25/,Scott Alexander,717
"April 22, 2015",Growth Mindset 3: A Pox On Growth Your Houses,https://slatestarcodex.com/2015/04/22/growth-mindset-3-a-pox-on-growth-your-houses/,Scott Alexander,254
"April 25, 2015",Nefarious Nefazodone And Flashy Rare Side Effects,https://slatestarcodex.com/2015/04/25/nefarious-nefazodone-and-flashy-rare-side-effects/,Scott Alexander,331
"May 27, 2020",Open Thread 154.75,https://slatestarcodex.com/2020/05/27/open-thread-154-75/,a reader,1349
"April 21, 2015","Universal Love, Said The Cactus Person",https://slatestarcodex.com/2015/04/21/universal-love-said-the-cactus-person/,Scott Alexander,470
"April 30, 2015","Prescriptions, Paradoxes, and Perversities",https://slatestarcodex.com/2015/04/30/prescriptions-paradoxes-and-perversities/,Scott Alexander,247
"August 17, 2014",Links For August 2014,https://slatestarcodex.com/2014/08/17/links-for-august-2014/,Scott Alexander,50
"February 28, 2016",OT44: Open Primary,https://slatestarcodex.com/2016/02/28/ot44-open-primary/,Scott Alexander,1768
"February 12, 2013","Abraham Lincoln, Ape-Man",https://slatestarcodex.com/2013/02/12/abraham-lincoln-ape-man/,Scott Alexander,6
"April 26, 2015",OT19: Don’t Thread On Me,https://slatestarcodex.com/2015/04/26/ot19-dont-thread-on-me/,Scott Alexander,869
"February 14, 2013","Abraham Lincoln, Necromancer",https://slatestarcodex.com/2013/02/14/abraham-lincoln-necromancer/,Scott Alexander,5
"May 6, 2015",The Future Is Filters,https://slatestarcodex.com/2015/05/06/the-future-is-filters/,Scott Alexander,647
"February 15, 2013","You cannot serve both God and Mammon, but you can serve Mammon by predicting who will serve God",https://slatestarcodex.com/2013/02/15/you-cannot-serve-both-god-and-mammon-but-you-can-serve-mammon-by-predicting-who-will-serve-god/,Scott Alexander,31
"February 17, 2013",90% of all claims about the problems with medical studies are wrong,https://slatestarcodex.com/2013/02/17/90-of-all-claims-about-the-problems-with-medical-studies-are-wrong/,Scott Alexander,26
"February 19, 2013",I liked Lovecraft countless primaeval aeons before it was cool,https://slatestarcodex.com/2013/02/19/i-liked-lovecraft-countless-primaeval-aeons-before-it-was-cool/,Scott Alexander,43
"March 13, 2016",OT45: Opal Thread,https://slatestarcodex.com/2016/03/13/ot45-opal-thread/,Scott Alexander,1555
"February 21, 2013","A defense of logical positivism (yes, really)",https://slatestarcodex.com/2013/02/21/a-defense-of-logical-positivism-yes-really/,Scott Alexander,34
